Дата,Выявлено всего,Заражений за день,Выздоровлений,Выздоровлений за день,Смертей за день,Смертей,"Летальность, %",% Выздоровлений,% Смертей,% прирост,Выздоровевших и умерших,Характерстика ДБ
2020-03-31,2337,501,121,55,8,17,0.73,0.8333333333333333,0.8888888888888888,0.272875816993464,138,13.0
2020-04-01,2777,440,190,69,7,24,0.86,0.5702479338842976,0.411764705882353,0.188275566966196,214,12.0
2020-04-02,3548,771,235,45,6,30,0.85,0.236842105263158,0.25,0.27763773856679874,265,12.0
2020-04-03,4149,601,281,46,4,34,0.82,0.1957446808510639,0.1333333333333333,0.16939120631341598,315,12.0
2020-04-04,4731,582,333,52,9,43,0.91,0.18505338078291825,0.2647058823529411,0.14027476500361535,376,12.0
2020-04-05,5389,658,355,22,2,45,0.84,0.06606606606606613,0.046511627906976834,0.13908264637497347,400,13.0
2020-04-06,6343,954,406,51,2,47,0.74,0.14366197183098595,0.044444444444444516,0.1770272777880868,453,13.0
2020-04-07,7497,1154,494,88,11,58,0.77,0.2167487684729064,0.23404255319148934,0.18193283935046511,552,13.0
2020-04-08,8672,1175,580,86,5,63,0.73,0.1740890688259109,0.0862068965517242,0.15672935841003066,643,14.0
2020-04-09,10131,1459,698,118,13,76,0.75,0.20344827586206904,0.20634920634920628,0.16824261992619927,774,14.0
