Дата,Заражений за день,Day sin,Day cos,Характерстика ДБ
2020-09-10,5363,0.8660254037844166,0.5000000000000382,33.0
2020-09-11,5504,0.8805955318567344,0.4738686624730052,33.0
2020-09-12,5488,0.89437740766635,0.4473131483156064,33.0
2020-09-13,5449,0.9073586945678448,0.42035722830960875,33.0
2020-09-14,5509,0.9195277725514464,0.39302503165393365,34.0
2020-09-15,5529,0.9308737486442137,0.365341024366371,33.0
2020-09-16,5670,0.9413864666608859,0.33732998738287817,33.0
2020-09-17,5762,0.9510565162951491,0.3090169943749612,33.0
2020-09-18,5905,0.9598752415428953,0.28042738930598143,33.0
2020-09-19,6065,0.9678347484506528,0.2515867637445615,33.0
2020-09-20,6148,0.9749279121818196,0.22252093395633202,33.0
2020-09-21,6196,0.9811483833941762,0.19325591779553497,34.0
2020-09-22,6215,0.9864905939235306,0.16381791141508306,33.0
2020-09-23,6431,0.9909497617679318,0.1342332658176769,33.0
2020-09-24,6595,0.994521895368275,0.10452846326763846,33.0
2020-09-25,7212,0.997203797181184,0.07473009358637259,33.0
2020-09-26,7523,0.9989930665413135,0.044864830350540064,33.0
2020-09-27,7867,0.9998881018102735,0.014959407015252077,33.0
2020-09-28,8135,0.9998881018102727,-0.014959407015311867,33.0
2020-09-29,8232,0.9989930665413159,-0.04486483035048623,33.0
2020-09-30,8481,0.9972037971811796,-0.07473009358643222,33.0
2020-10-01,8945,0.9945218953682686,-0.10452846326769792,33.0
2020-10-02,9412,0.9909497617679391,-0.1342332658176235,32.0
2020-10-03,9859,0.9864905939235207,-0.16381791141514207,32.0
2020-10-04,10499,0.9811483833941647,-0.19325591779559365,32.0
2020-10-05,10888,0.9749279121818316,-0.22252093395627948,33.0
2020-10-06,11615,0.9678347484506663,-0.25158676374450933,32.0
2020-10-07,11115,0.9598752415428785,-0.28042738930603883,32.0
2020-10-08,11493,0.9510565162951657,-0.30901699437491,32.0
2020-10-09,12126,0.9413864666609041,-0.3373299873828275,31.0
2020-10-10,12846,0.9308737486441918,-0.3653410243664267,31.0
2020-10-11,13634,0.9195277725514676,-0.39302503165388414,31.0
2020-10-12,13592,0.9073586945678674,-0.42035722830955985,31.0
2020-10-13,13868,0.8943774076663232,-0.4473131483156599,31.0
2020-10-14,14231,0.88059553185676,-0.4738686624729577,30.0
2020-10-15,13754,0.8660254037844436,-0.4999999999999915,30.0
2020-10-16,15150,0.8506800656873253,-0.5256837698105276,29.0
2020-10-17,14922,0.8345732537213302,-0.5508969814520608,29.0
